,Unnamed: 0,Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
86,87,87,Patriots Day,"    The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",133,Action,7.4,69.0,93512,40.1,Peter Berg,Mark Wahlberg
87,88,88,Colossal,"    Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",109,Action,6.2,70.0,59702,486.3,Nacho Vigalondo,Anne Hathaway
88,89,89,The Infiltrator,    A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,127,Biography,7.0,66.0,69403,31.89,Brad Furman,Bryan Cranston
89,90,90,The Fundamentals of Caring,    A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,97,Comedy,7.3,55.0,62072,3.02,Rob Burnett,Craig Roberts
90,91,91,Mother's Day,    Three generations come together in the week leading up to Mother's Day.,118,Comedy,5.7,18.0,33303,15.43,Garry Marshall,Jennifer Aniston
91,92,92,Sully,"    The story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",96,Biography,7.4,74.0,241590,32.46,Clint Eastwood,Tom Hanks
92,93,93,The Bad Batch,"    In a desert dystopia, a young woman is kidnapped by cannibals.",118,Action,5.3,62.0,27090,125.0,Ana Lily Amirpour,Suki Waterhouse
93,94,94,Gokseong,"    Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.",156,Horror,7.5,81.0,53329,0.18,Hong-jin Na,Jun Kunimura
94,95,95,Triple 9,    A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,115,Action,6.3,52.0,67595,12.63,John Hillcoat,Casey Affleck
95,96,96,Toni Erdmann,    A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.,162,Comedy,7.4,93.0,44792,1.48,Maren Ade,Sandra Hüller
96,97,97,Swiss Army Man,"    A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home.",97,Comedy,7.0,64.0,107207,4.21,Dan Kwan,Paul Dano
97,98,98,The Boy,"    An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",97,Horror,6.0,42.0,81384,35.82,William Brent Bell,Lauren Cohan
98,99,99,Underworld: Blood Wars,    Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,91,Action,5.8,23.0,70480,30.35,Anna Foerster,Kate Beckinsale
99,100,100,"Hail, Caesar!",    A Hollywood fixer in the 1950s works to keep the studio's stars in line.,106,Comedy,6.3,72.0,125277,30.08,Ethan Coen,Josh Brolin
